sample_index,distance
0,1533.3560791326327
1,1529.561015872726
2,1525.765415971663
3,1521.9704838549715
4,1518.173545445768
5,1514.378319181602
6,1510.5815705861091
7,1506.7890839090774
8,1503.0114724408406
9,1499.202166961942
10,1495.258228267741
11,1491.1550145376998
12,1486.8695150840726
13,1482.4774486324136
14,1478.049920335534
15,1473.6277081379526
16,1469.2113261828522
17,1464.8003678842454
18,1460.389655736588
19,1455.9769123481606
20,1451.5637843888865
21,1447.1512109245639
22,1442.7378638386585
23,1438.324514355853
24,1433.9091738468444
25,1429.5062648828525
26,1425.127512338556
27,1420.7015347791048
28,1416.1435968183478
29,1411.5558450188896
30,1407.0686649331324
31,1402.5660435165769
32,1397.7325789100914
33,1392.5495918846084
34,1387.0970586580925
35,1381.382908405597
36,1375.5551145316888
37,1369.7806968859368
38,1364.1200320252565
39,1358.5444099449112
40,1353.1667226613301
41,1348.0163386983331
42,1343.0917884826777
43,1338.2159065967137
44,1333.3680029386242
45,1328.620403880876
46,1323.9459079392182
47,1319.2549938952825
48,1314.6019374216482
49,1310.1048161484528
50,1305.7409479084054
51,1301.386740601575
52,1297.0722940779956
53,1292.9206528405537
54,1288.8955370872795
55,1284.8434210185765
56,1280.7699400387983
57,1276.7854055821174
58,1272.956458764394
59,1269.2063279129306
60,1265.34456236009
61,1261.2930911743583
62,1257.4991125308693
63,1254.0432275564867
64,1251.0224299341537
65,1248.2995568318509
66,1245.1031901208432
67,1241.42112921574
68,1237.280669631942
69,1232.8593890890397
70,1228.450351322339
71,1224.0398099847182
72,1219.6158384102973
73,1215.2054724114203
74,1211.0608120435588
75,1207.3616212307852
76,1204.0061320829761
77,1200.9602109275631
78,1198.031332312226
79,1195.100027257672
80,1192.1432891625918
81,1189.1998317902676
82,1186.3876711447178
83,1183.7072755478682
84,1181.0030928954343
85,1177.999100470204
86,1174.6481072037334
87,1170.9045020710103
88,1166.7939800680306
89,1162.3063558970766
90,1158.046005910886
91,1154.2149333526236
92,1150.8651383971974
93,1148.0015701836016
94,1145.4376076361993
95,1142.9411587246796
96,1140.4449000547056
97,1137.9678966557326
98,1135.4688100989201
99,1132.94451785314
100,1130.4346017063153
101,1127.9315280363999
102,1125.3097571839648
103,1122.4740576825263
104,1119.4121995289663
105,1116.1539866674793
106,1112.8860793328045
107,1109.6617004555962
108,1106.5364252928398
109,1103.6132831417149
110,1100.8848861857448
111,1098.2894038812703
112,1095.7110352079942
113,1093.1468642123398
114,1090.7054971013467
115,1088.4543696306246
116,1086.3552103099196
117,1084.3591569707369
118,1082.587667003085
119,1080.9374631847809
120,1079.1335274788212
121,1077.2135339475906
122,1075.392164851401
123,1073.712116475614
124,1072.1718201848141
125,1070.791075261995
126,1069.5262267893486
127,1068.2828413147474
128,1067.0249399816366
129,1065.7637812413632
